id,priority,domain,capability,control,target,requirement,shard,capability_id,control_id
BQ-1101,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Iterative Render Critique Loop,Contract,CRITICS.md / QA_GATES.md,"After the first substantial implementation render, run adversarial critique, repair material failures, re-render affected views/states, and repeat until required gates/floors pass or evidence is genuinely unavailable.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.iterative-render-critique-loop,control.bq-1101
BQ-1102,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Iterative Render Critique Loop,Procedure,CRITICS.md / QA_GATES.md,"After the first substantial implementation render, run adversarial critique, repair material failures, re-render affected views/states, and repeat until required gates/floors pass or evidence is genuinely unavailable.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.iterative-render-critique-loop,control.bq-1102
BQ-1103,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Iterative Render Critique Loop,Evidence Gate,CRITICS.md / QA_GATES.md,"After the first substantial implementation render, run adversarial critique, repair material failures, re-render affected views/states, and repeat until required gates/floors pass or evidence is genuinely unavailable.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.iterative-render-critique-loop,control.bq-1103
BQ-1104,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Iterative Render Critique Loop,Recovery,CRITICS.md / QA_GATES.md,"After the first substantial implementation render, run adversarial critique, repair material failures, re-render affected views/states, and repeat until required gates/floors pass or evidence is genuinely unavailable.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.iterative-render-critique-loop,control.bq-1104
BQ-1105,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Iterative Render Critique Loop,Regression,CRITICS.md / QA_GATES.md,"After the first substantial implementation render, run adversarial critique, repair material failures, re-render affected views/states, and repeat until required gates/floors pass or evidence is genuinely unavailable.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.iterative-render-critique-loop,control.bq-1105
BQ-1106,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Visual Quality Critic,Contract,CRITICS.md / CREATIVE.md / CRAFT.md,"Evaluate rendered hierarchy, composition, typography, media, spacing, surfaces, component finish, iconography, density, transitions, and visual defects with an adversarial rejection mindset.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.visual-quality-critic,control.bq-1106
BQ-1107,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Visual Quality Critic,Procedure,CRITICS.md / CREATIVE.md / CRAFT.md,"Evaluate rendered hierarchy, composition, typography, media, spacing, surfaces, component finish, iconography, density, transitions, and visual defects with an adversarial rejection mindset.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.visual-quality-critic,control.bq-1107
BQ-1108,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Visual Quality Critic,Evidence Gate,CRITICS.md / CREATIVE.md / CRAFT.md,"Evaluate rendered hierarchy, composition, typography, media, spacing, surfaces, component finish, iconography, density, transitions, and visual defects with an adversarial rejection mindset.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.visual-quality-critic,control.bq-1108
BQ-1109,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Visual Quality Critic,Recovery,CRITICS.md / CREATIVE.md / CRAFT.md,"Evaluate rendered hierarchy, composition, typography, media, spacing, surfaces, component finish, iconography, density, transitions, and visual defects with an adversarial rejection mindset.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.visual-quality-critic,control.bq-1109
BQ-1110,P0,"28. Adversarial Critique, Repair, Quality Floors & Benchmarking",Visual Quality Critic,Regression,CRITICS.md / CREATIVE.md / CRAFT.md,"Evaluate rendered hierarchy, composition, typography, media, spacing, surfaces, component finish, iconography, density, transitions, and visual defects with an adversarial rejection mindset.",controls/28-adversarial-critique-repair-quality-floors-and-benchmarking.md,controls.capability.visual-quality-critic,control.bq-1110
