id,priority,domain,capability,control,target,requirement,shard,capability_id,control_id
BQ-1251,P0,"31. Operational Procedure Compilation, Authority & Measurement",Operational Context Resolution,Contract,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md / operations/*,"Resolve exact industry, subindustry, business model, organization/site context, role, task, trigger, risk, systems, and material unknowns before compiling an operational procedure.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.operational-context-resolution,control.bq-1251
BQ-1252,P0,"31. Operational Procedure Compilation, Authority & Measurement",Operational Context Resolution,Procedure,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md / operations/*,"Resolve exact industry, subindustry, business model, organization/site context, role, task, trigger, risk, systems, and material unknowns before compiling an operational procedure.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.operational-context-resolution,control.bq-1252
BQ-1253,P0,"31. Operational Procedure Compilation, Authority & Measurement",Operational Context Resolution,Evidence Gate,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md / operations/*,"Resolve exact industry, subindustry, business model, organization/site context, role, task, trigger, risk, systems, and material unknowns before compiling an operational procedure.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.operational-context-resolution,control.bq-1253
BQ-1254,P0,"31. Operational Procedure Compilation, Authority & Measurement",Operational Context Resolution,Recovery,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md / operations/*,"Resolve exact industry, subindustry, business model, organization/site context, role, task, trigger, risk, systems, and material unknowns before compiling an operational procedure.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.operational-context-resolution,control.bq-1254
BQ-1255,P0,"31. Operational Procedure Compilation, Authority & Measurement",Operational Context Resolution,Regression,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md / operations/*,"Resolve exact industry, subindustry, business model, organization/site context, role, task, trigger, risk, systems, and material unknowns before compiling an operational procedure.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.operational-context-resolution,control.bq-1255
BQ-1256,P1,"31. Operational Procedure Compilation, Authority & Measurement",Role & Accountability Compilation,Contract,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md,"Compile purpose, accountabilities, scope boundaries, inputs, outputs, decisions, interfaces, evidence duties, KPI ownership, and explicit exclusions rather than relying on a title-only role description.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.role-accountability-compilation,control.bq-1256
BQ-1257,P1,"31. Operational Procedure Compilation, Authority & Measurement",Role & Accountability Compilation,Procedure,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md,"Compile purpose, accountabilities, scope boundaries, inputs, outputs, decisions, interfaces, evidence duties, KPI ownership, and explicit exclusions rather than relying on a title-only role description.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.role-accountability-compilation,control.bq-1257
BQ-1258,P1,"31. Operational Procedure Compilation, Authority & Measurement",Role & Accountability Compilation,Evidence Gate,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md,"Compile purpose, accountabilities, scope boundaries, inputs, outputs, decisions, interfaces, evidence duties, KPI ownership, and explicit exclusions rather than relying on a title-only role description.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.role-accountability-compilation,control.bq-1258
BQ-1259,P1,"31. Operational Procedure Compilation, Authority & Measurement",Role & Accountability Compilation,Recovery,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md,"Compile purpose, accountabilities, scope boundaries, inputs, outputs, decisions, interfaces, evidence duties, KPI ownership, and explicit exclusions rather than relying on a title-only role description.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.role-accountability-compilation,control.bq-1259
BQ-1260,P1,"31. Operational Procedure Compilation, Authority & Measurement",Role & Accountability Compilation,Regression,OPERATIONAL_PROCEDURE_COMPILER.md / JOBS.md,"Compile purpose, accountabilities, scope boundaries, inputs, outputs, decisions, interfaces, evidence duties, KPI ownership, and explicit exclusions rather than relying on a title-only role description.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.role-accountability-compilation,control.bq-1260
BQ-1261,P0,"31. Operational Procedure Compilation, Authority & Measurement",Procedure Authority Classification,Contract,PROCEDURE_AUTHORITY.md,"Classify each material procedure as general guidance, organization draft, verified organization procedure, external authoritative requirement, or mixed, with truthful provenance and verification state.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.procedure-authority-classification,control.bq-1261
BQ-1262,P0,"31. Operational Procedure Compilation, Authority & Measurement",Procedure Authority Classification,Procedure,PROCEDURE_AUTHORITY.md,"Classify each material procedure as general guidance, organization draft, verified organization procedure, external authoritative requirement, or mixed, with truthful provenance and verification state.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.procedure-authority-classification,control.bq-1262
BQ-1263,P0,"31. Operational Procedure Compilation, Authority & Measurement",Procedure Authority Classification,Evidence Gate,PROCEDURE_AUTHORITY.md,"Classify each material procedure as general guidance, organization draft, verified organization procedure, external authoritative requirement, or mixed, with truthful provenance and verification state.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.procedure-authority-classification,control.bq-1263
BQ-1264,P0,"31. Operational Procedure Compilation, Authority & Measurement",Procedure Authority Classification,Recovery,PROCEDURE_AUTHORITY.md,"Classify each material procedure as general guidance, organization draft, verified organization procedure, external authoritative requirement, or mixed, with truthful provenance and verification state.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.procedure-authority-classification,control.bq-1264
BQ-1265,P0,"31. Operational Procedure Compilation, Authority & Measurement",Procedure Authority Classification,Regression,PROCEDURE_AUTHORITY.md,"Classify each material procedure as general guidance, organization draft, verified organization procedure, external authoritative requirement, or mixed, with truthful provenance and verification state.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.procedure-authority-classification,control.bq-1265
BQ-1266,P0,"31. Operational Procedure Compilation, Authority & Measurement",Executable Procedure Compilation,Contract,OPERATIONAL_PROCEDURE_COMPILER.md,"Compile triggers, prerequisites, inputs, actor-specific ordered steps, decisions, checks, evidence, failure paths, outputs, and observable definition of done for material operating procedures.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.executable-procedure-compilation,control.bq-1266
BQ-1267,P0,"31. Operational Procedure Compilation, Authority & Measurement",Executable Procedure Compilation,Procedure,OPERATIONAL_PROCEDURE_COMPILER.md,"Compile triggers, prerequisites, inputs, actor-specific ordered steps, decisions, checks, evidence, failure paths, outputs, and observable definition of done for material operating procedures.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.executable-procedure-compilation,control.bq-1267
BQ-1268,P0,"31. Operational Procedure Compilation, Authority & Measurement",Executable Procedure Compilation,Evidence Gate,OPERATIONAL_PROCEDURE_COMPILER.md,"Compile triggers, prerequisites, inputs, actor-specific ordered steps, decisions, checks, evidence, failure paths, outputs, and observable definition of done for material operating procedures.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.executable-procedure-compilation,control.bq-1268
BQ-1269,P0,"31. Operational Procedure Compilation, Authority & Measurement",Executable Procedure Compilation,Recovery,OPERATIONAL_PROCEDURE_COMPILER.md,"Compile triggers, prerequisites, inputs, actor-specific ordered steps, decisions, checks, evidence, failure paths, outputs, and observable definition of done for material operating procedures.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.executable-procedure-compilation,control.bq-1269
BQ-1270,P0,"31. Operational Procedure Compilation, Authority & Measurement",Executable Procedure Compilation,Regression,OPERATIONAL_PROCEDURE_COMPILER.md,"Compile triggers, prerequisites, inputs, actor-specific ordered steps, decisions, checks, evidence, failure paths, outputs, and observable definition of done for material operating procedures.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.executable-procedure-compilation,control.bq-1270
BQ-1271,P0,"31. Operational Procedure Compilation, Authority & Measurement",Decision Rights & Approval Boundaries,Contract,DECISION_RIGHTS.md,"Make MUST, MAY, MUST NOT, approval-required, stop-and-escalate, consult, and inform boundaries explicit without inventing authority limits.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.decision-rights-approval-boundaries,control.bq-1271
BQ-1272,P0,"31. Operational Procedure Compilation, Authority & Measurement",Decision Rights & Approval Boundaries,Procedure,DECISION_RIGHTS.md,"Make MUST, MAY, MUST NOT, approval-required, stop-and-escalate, consult, and inform boundaries explicit without inventing authority limits.",controls/31-operational-procedure-compilation-authority-and-measurement.md,controls.capability.decision-rights-approval-boundaries,control.bq-1272
