id,priority,domain,capability,control,target,requirement,shard,capability_id,control_id
BQ-1001,P1,26. Feature & Component Craft,Icon System Selection,Contract,CRAFT.md / DESIGN.md,"Select one coherent professional icon system when iconography materially improves clarity, scanning, status recognition, navigation, or affordance, without forcing icons or mixing incompatible families.",controls/26-feature-component-craft.md,controls.capability.icon-system-selection,control.bq-1001
BQ-1002,P1,26. Feature & Component Craft,Icon System Selection,Procedure,CRAFT.md / DESIGN.md,"Select one coherent professional icon system when iconography materially improves clarity, scanning, status recognition, navigation, or affordance, without forcing icons or mixing incompatible families.",controls/26-feature-component-craft.md,controls.capability.icon-system-selection,control.bq-1002
BQ-1003,P1,26. Feature & Component Craft,Icon System Selection,Evidence Gate,CRAFT.md / DESIGN.md,"Select one coherent professional icon system when iconography materially improves clarity, scanning, status recognition, navigation, or affordance, without forcing icons or mixing incompatible families.",controls/26-feature-component-craft.md,controls.capability.icon-system-selection,control.bq-1003
BQ-1004,P1,26. Feature & Component Craft,Icon System Selection,Recovery,CRAFT.md / DESIGN.md,"Select one coherent professional icon system when iconography materially improves clarity, scanning, status recognition, navigation, or affordance, without forcing icons or mixing incompatible families.",controls/26-feature-component-craft.md,controls.capability.icon-system-selection,control.bq-1004
BQ-1005,P1,26. Feature & Component Craft,Icon System Selection,Regression,CRAFT.md / DESIGN.md,"Select one coherent professional icon system when iconography materially improves clarity, scanning, status recognition, navigation, or affordance, without forcing icons or mixing incompatible families.",controls/26-feature-component-craft.md,controls.capability.icon-system-selection,control.bq-1005
BQ-1006,P1,26. Feature & Component Craft,Iconography Coverage Audit,Contract,CRAFT.md / QA_GATES.md,"Audit applicable navigation, utility actions, states, statuses, forms, contextual actions, and supporting UI for purposeful icon coverage and accessible labeling.",controls/26-feature-component-craft.md,controls.capability.iconography-coverage-audit,control.bq-1006
BQ-1007,P1,26. Feature & Component Craft,Iconography Coverage Audit,Procedure,CRAFT.md / QA_GATES.md,"Audit applicable navigation, utility actions, states, statuses, forms, contextual actions, and supporting UI for purposeful icon coverage and accessible labeling.",controls/26-feature-component-craft.md,controls.capability.iconography-coverage-audit,control.bq-1007
BQ-1008,P1,26. Feature & Component Craft,Iconography Coverage Audit,Evidence Gate,CRAFT.md / QA_GATES.md,"Audit applicable navigation, utility actions, states, statuses, forms, contextual actions, and supporting UI for purposeful icon coverage and accessible labeling.",controls/26-feature-component-craft.md,controls.capability.iconography-coverage-audit,control.bq-1008
BQ-1009,P1,26. Feature & Component Craft,Iconography Coverage Audit,Recovery,CRAFT.md / QA_GATES.md,"Audit applicable navigation, utility actions, states, statuses, forms, contextual actions, and supporting UI for purposeful icon coverage and accessible labeling.",controls/26-feature-component-craft.md,controls.capability.iconography-coverage-audit,control.bq-1009
BQ-1010,P1,26. Feature & Component Craft,Iconography Coverage Audit,Regression,CRAFT.md / QA_GATES.md,"Audit applicable navigation, utility actions, states, statuses, forms, contextual actions, and supporting UI for purposeful icon coverage and accessible labeling.",controls/26-feature-component-craft.md,controls.capability.iconography-coverage-audit,control.bq-1010
BQ-1011,P0,26. Feature & Component Craft,Component Anatomy Quality,Contract,CRAFT.md / CREATIVE.md / DESIGN.md,"Require important reusable components to have task-specific hierarchy, anatomy, states, responsive behavior, and visual detail beyond generic border-radius-padding treatment.",controls/26-feature-component-craft.md,controls.capability.component-anatomy-quality,control.bq-1011
BQ-1012,P0,26. Feature & Component Craft,Component Anatomy Quality,Procedure,CRAFT.md / CREATIVE.md / DESIGN.md,"Require important reusable components to have task-specific hierarchy, anatomy, states, responsive behavior, and visual detail beyond generic border-radius-padding treatment.",controls/26-feature-component-craft.md,controls.capability.component-anatomy-quality,control.bq-1012
BQ-1013,P0,26. Feature & Component Craft,Component Anatomy Quality,Evidence Gate,CRAFT.md / CREATIVE.md / DESIGN.md,"Require important reusable components to have task-specific hierarchy, anatomy, states, responsive behavior, and visual detail beyond generic border-radius-padding treatment.",controls/26-feature-component-craft.md,controls.capability.component-anatomy-quality,control.bq-1013
BQ-1014,P0,26. Feature & Component Craft,Component Anatomy Quality,Recovery,CRAFT.md / CREATIVE.md / DESIGN.md,"Require important reusable components to have task-specific hierarchy, anatomy, states, responsive behavior, and visual detail beyond generic border-radius-padding treatment.",controls/26-feature-component-craft.md,controls.capability.component-anatomy-quality,control.bq-1014
BQ-1015,P0,26. Feature & Component Craft,Component Anatomy Quality,Regression,CRAFT.md / CREATIVE.md / DESIGN.md,"Require important reusable components to have task-specific hierarchy, anatomy, states, responsive behavior, and visual detail beyond generic border-radius-padding treatment.",controls/26-feature-component-craft.md,controls.capability.component-anatomy-quality,control.bq-1015
BQ-1016,P1,26. Feature & Component Craft,Card Surface Specificity,Contract,CRAFT.md / CREATIVE.md,Reject universal card grammar and major regions dominated by interchangeable rounded rectangles; require card anatomy and surface/elevation choices to reflect information and task.,controls/26-feature-component-craft.md,controls.capability.card-surface-specificity,control.bq-1016
