id,priority,domain,capability,control,target,requirement,shard,capability_id,control_id
BQ-1201,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Primary Task Friction Closure,Contract,USABILITY_CLOSURE.md,"Require P0/P1 task paths to expose orientation, necessary decisions, primary action, feedback, and recovery with minimum justified friction.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.primary-task-friction-closure,control.bq-1201
BQ-1202,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Primary Task Friction Closure,Procedure,USABILITY_CLOSURE.md,"Require P0/P1 task paths to expose orientation, necessary decisions, primary action, feedback, and recovery with minimum justified friction.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.primary-task-friction-closure,control.bq-1202
BQ-1203,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Primary Task Friction Closure,Evidence Gate,USABILITY_CLOSURE.md,"Require P0/P1 task paths to expose orientation, necessary decisions, primary action, feedback, and recovery with minimum justified friction.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.primary-task-friction-closure,control.bq-1203
BQ-1204,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Primary Task Friction Closure,Recovery,USABILITY_CLOSURE.md,"Require P0/P1 task paths to expose orientation, necessary decisions, primary action, feedback, and recovery with minimum justified friction.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.primary-task-friction-closure,control.bq-1204
BQ-1205,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Primary Task Friction Closure,Regression,USABILITY_CLOSURE.md,"Require P0/P1 task paths to expose orientation, necessary decisions, primary action, feedback, and recovery with minimum justified friction.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.primary-task-friction-closure,control.bq-1205
BQ-1206,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Action Hierarchy & Progressive Disclosure,Contract,USABILITY_CLOSURE.md,Require clear primary/secondary/contextual/destructive action hierarchy and progressive disclosure that never hides the only P0 route.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.action-hierarchy-progressive-disclosure,control.bq-1206
BQ-1207,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Action Hierarchy & Progressive Disclosure,Procedure,USABILITY_CLOSURE.md,Require clear primary/secondary/contextual/destructive action hierarchy and progressive disclosure that never hides the only P0 route.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.action-hierarchy-progressive-disclosure,control.bq-1207
BQ-1208,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Action Hierarchy & Progressive Disclosure,Evidence Gate,USABILITY_CLOSURE.md,Require clear primary/secondary/contextual/destructive action hierarchy and progressive disclosure that never hides the only P0 route.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.action-hierarchy-progressive-disclosure,control.bq-1208
BQ-1209,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Action Hierarchy & Progressive Disclosure,Recovery,USABILITY_CLOSURE.md,Require clear primary/secondary/contextual/destructive action hierarchy and progressive disclosure that never hides the only P0 route.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.action-hierarchy-progressive-disclosure,control.bq-1209
BQ-1210,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Action Hierarchy & Progressive Disclosure,Regression,USABILITY_CLOSURE.md,Require clear primary/secondary/contextual/destructive action hierarchy and progressive disclosure that never hides the only P0 route.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.action-hierarchy-progressive-disclosure,control.bq-1210
BQ-1211,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Input & Decision Efficiency,Contract,USABILITY_CLOSURE.md,"Require forms, filters, selectors, and dense decision controls to minimize memory load, re-entry, hidden prerequisites, and avoidable state loss.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.input-decision-efficiency,control.bq-1211
BQ-1212,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Input & Decision Efficiency,Procedure,USABILITY_CLOSURE.md,"Require forms, filters, selectors, and dense decision controls to minimize memory load, re-entry, hidden prerequisites, and avoidable state loss.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.input-decision-efficiency,control.bq-1212
BQ-1213,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Input & Decision Efficiency,Evidence Gate,USABILITY_CLOSURE.md,"Require forms, filters, selectors, and dense decision controls to minimize memory load, re-entry, hidden prerequisites, and avoidable state loss.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.input-decision-efficiency,control.bq-1213
BQ-1214,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Input & Decision Efficiency,Recovery,USABILITY_CLOSURE.md,"Require forms, filters, selectors, and dense decision controls to minimize memory load, re-entry, hidden prerequisites, and avoidable state loss.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.input-decision-efficiency,control.bq-1214
BQ-1215,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Input & Decision Efficiency,Regression,USABILITY_CLOSURE.md,"Require forms, filters, selectors, and dense decision controls to minimize memory load, re-entry, hidden prerequisites, and avoidable state loss.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.input-decision-efficiency,control.bq-1215
BQ-1216,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Feedback & Recovery Legibility,Contract,USABILITY_CLOSURE.md,Require consequential actions to expose pending/success/error state and preserve a clear recovery or continuation path.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.feedback-recovery-legibility,control.bq-1216
BQ-1217,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Feedback & Recovery Legibility,Procedure,USABILITY_CLOSURE.md,Require consequential actions to expose pending/success/error state and preserve a clear recovery or continuation path.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.feedback-recovery-legibility,control.bq-1217
BQ-1218,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Feedback & Recovery Legibility,Evidence Gate,USABILITY_CLOSURE.md,Require consequential actions to expose pending/success/error state and preserve a clear recovery or continuation path.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.feedback-recovery-legibility,control.bq-1218
BQ-1219,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Feedback & Recovery Legibility,Recovery,USABILITY_CLOSURE.md,Require consequential actions to expose pending/success/error state and preserve a clear recovery or continuation path.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.feedback-recovery-legibility,control.bq-1219
BQ-1220,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Feedback & Recovery Legibility,Regression,USABILITY_CLOSURE.md,Require consequential actions to expose pending/success/error state and preserve a clear recovery or continuation path.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.feedback-recovery-legibility,control.bq-1220
BQ-1221,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Perceptual Hierarchy Finish,Contract,VISUAL_FINISH.md,Require rendered critical views to demonstrate intentional perceptual hierarchy and remove equal-weight or visibly unfinished regions.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.perceptual-hierarchy-finish,control.bq-1221
BQ-1222,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Perceptual Hierarchy Finish,Procedure,VISUAL_FINISH.md,Require rendered critical views to demonstrate intentional perceptual hierarchy and remove equal-weight or visibly unfinished regions.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.perceptual-hierarchy-finish,control.bq-1222
BQ-1223,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Perceptual Hierarchy Finish,Evidence Gate,VISUAL_FINISH.md,Require rendered critical views to demonstrate intentional perceptual hierarchy and remove equal-weight or visibly unfinished regions.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.perceptual-hierarchy-finish,control.bq-1223
BQ-1224,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Perceptual Hierarchy Finish,Recovery,VISUAL_FINISH.md,Require rendered critical views to demonstrate intentional perceptual hierarchy and remove equal-weight or visibly unfinished regions.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.perceptual-hierarchy-finish,control.bq-1224
BQ-1225,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Perceptual Hierarchy Finish,Regression,VISUAL_FINISH.md,Require rendered critical views to demonstrate intentional perceptual hierarchy and remove equal-weight or visibly unfinished regions.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.perceptual-hierarchy-finish,control.bq-1225
BQ-1226,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Typographic Spatial Surface Calibration,Contract,VISUAL_FINISH.md,"Require final optical calibration of typography, spacing, surfaces, icon/control alignment, media treatment, and cross-viewport rhythm.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.typographic-spatial-surface-calibration,control.bq-1226
BQ-1227,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Typographic Spatial Surface Calibration,Procedure,VISUAL_FINISH.md,"Require final optical calibration of typography, spacing, surfaces, icon/control alignment, media treatment, and cross-viewport rhythm.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.typographic-spatial-surface-calibration,control.bq-1227
BQ-1228,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Typographic Spatial Surface Calibration,Evidence Gate,VISUAL_FINISH.md,"Require final optical calibration of typography, spacing, surfaces, icon/control alignment, media treatment, and cross-viewport rhythm.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.typographic-spatial-surface-calibration,control.bq-1228
BQ-1229,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Typographic Spatial Surface Calibration,Recovery,VISUAL_FINISH.md,"Require final optical calibration of typography, spacing, surfaces, icon/control alignment, media treatment, and cross-viewport rhythm.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.typographic-spatial-surface-calibration,control.bq-1229
BQ-1230,P1,"30. Usability, Visual Finish, Truth & Quality Closure",Typographic Spatial Surface Calibration,Regression,VISUAL_FINISH.md,"Require final optical calibration of typography, spacing, surfaces, icon/control alignment, media treatment, and cross-viewport rhythm.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.typographic-spatial-surface-calibration,control.bq-1230
BQ-1231,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Document Truth Boundary Visibility,Contract,TRUTH_BOUNDARIES.md,"Require documents to visibly distinguish supplied or verified evidence from assumptions, unknowns, interpretations, and recommendations where ambiguity is material.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.document-truth-boundary-visibility,control.bq-1231
BQ-1232,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Document Truth Boundary Visibility,Procedure,TRUTH_BOUNDARIES.md,"Require documents to visibly distinguish supplied or verified evidence from assumptions, unknowns, interpretations, and recommendations where ambiguity is material.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.document-truth-boundary-visibility,control.bq-1232
BQ-1233,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Document Truth Boundary Visibility,Evidence Gate,TRUTH_BOUNDARIES.md,"Require documents to visibly distinguish supplied or verified evidence from assumptions, unknowns, interpretations, and recommendations where ambiguity is material.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.document-truth-boundary-visibility,control.bq-1233
BQ-1234,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Document Truth Boundary Visibility,Recovery,TRUTH_BOUNDARIES.md,"Require documents to visibly distinguish supplied or verified evidence from assumptions, unknowns, interpretations, and recommendations where ambiguity is material.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.document-truth-boundary-visibility,control.bq-1234
BQ-1235,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Document Truth Boundary Visibility,Regression,TRUTH_BOUNDARIES.md,"Require documents to visibly distinguish supplied or verified evidence from assumptions, unknowns, interpretations, and recommendations where ambiguity is material.",controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.document-truth-boundary-visibility,control.bq-1235
BQ-1236,P0,"30. Usability, Visual Finish, Truth & Quality Closure",Evidence Assumption Sample Provenance,Contract,TRUTH_BOUNDARIES.md,Require sample/simulated/generated content and unresolved evidence to carry truthful point-of-use provenance instead of relying on distant disclaimers.,controls/30-usability-visual-finish-truth-and-quality-closure.md,controls.capability.evidence-assumption-sample-provenance,control.bq-1236
