id,priority,domain,capability,control,target,requirement,shard,capability_id,control_id
BQ-1051,P0,27. Artifact Contracts & Specification Compilation,Artifact Contract Resolution,Contract,ARTIFACT_CONTRACTS.md / contracts/*,"Resolve the narrowest applicable artifact production contract before substantial feature, design, or implementation work begins.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-resolution,control.bq-1051
BQ-1052,P0,27. Artifact Contracts & Specification Compilation,Artifact Contract Resolution,Procedure,ARTIFACT_CONTRACTS.md / contracts/*,"Resolve the narrowest applicable artifact production contract before substantial feature, design, or implementation work begins.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-resolution,control.bq-1052
BQ-1053,P0,27. Artifact Contracts & Specification Compilation,Artifact Contract Resolution,Evidence Gate,ARTIFACT_CONTRACTS.md / contracts/*,"Resolve the narrowest applicable artifact production contract before substantial feature, design, or implementation work begins.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-resolution,control.bq-1053
BQ-1054,P0,27. Artifact Contracts & Specification Compilation,Artifact Contract Resolution,Recovery,ARTIFACT_CONTRACTS.md / contracts/*,"Resolve the narrowest applicable artifact production contract before substantial feature, design, or implementation work begins.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-resolution,control.bq-1054
BQ-1055,P0,27. Artifact Contracts & Specification Compilation,Artifact Contract Resolution,Regression,ARTIFACT_CONTRACTS.md / contracts/*,"Resolve the narrowest applicable artifact production contract before substantial feature, design, or implementation work begins.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-resolution,control.bq-1055
BQ-1056,P1,27. Artifact Contracts & Specification Compilation,Artifact Contract Completeness,Contract,contracts/* / QUALITY_FLOORS.md,"Ensure the selected artifact contract defines user jobs, required information/feature/state outcomes, truth boundaries, responsive/accessibility obligations, evidence, and acceptance profile.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-completeness,control.bq-1056
BQ-1057,P1,27. Artifact Contracts & Specification Compilation,Artifact Contract Completeness,Procedure,contracts/* / QUALITY_FLOORS.md,"Ensure the selected artifact contract defines user jobs, required information/feature/state outcomes, truth boundaries, responsive/accessibility obligations, evidence, and acceptance profile.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-completeness,control.bq-1057
BQ-1058,P1,27. Artifact Contracts & Specification Compilation,Artifact Contract Completeness,Evidence Gate,contracts/* / QUALITY_FLOORS.md,"Ensure the selected artifact contract defines user jobs, required information/feature/state outcomes, truth boundaries, responsive/accessibility obligations, evidence, and acceptance profile.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-completeness,control.bq-1058
BQ-1059,P1,27. Artifact Contracts & Specification Compilation,Artifact Contract Completeness,Recovery,contracts/* / QUALITY_FLOORS.md,"Ensure the selected artifact contract defines user jobs, required information/feature/state outcomes, truth boundaries, responsive/accessibility obligations, evidence, and acceptance profile.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-completeness,control.bq-1059
BQ-1060,P1,27. Artifact Contracts & Specification Compilation,Artifact Contract Completeness,Regression,contracts/* / QUALITY_FLOORS.md,"Ensure the selected artifact contract defines user jobs, required information/feature/state outcomes, truth boundaries, responsive/accessibility obligations, evidence, and acceptance profile.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.artifact-contract-completeness,control.bq-1060
BQ-1061,P0,27. Artifact Contracts & Specification Compilation,Feature Specification Compiler,Contract,FEATURE_COMPILER.md / FEATURES.md,"Compile every high-value feature into purpose, user job, information, actions, interaction model, states, responsive/accessibility behavior, truth semantics, dependencies, and acceptance criteria before component design.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-specification-compiler,control.bq-1061
BQ-1062,P0,27. Artifact Contracts & Specification Compilation,Feature Specification Compiler,Procedure,FEATURE_COMPILER.md / FEATURES.md,"Compile every high-value feature into purpose, user job, information, actions, interaction model, states, responsive/accessibility behavior, truth semantics, dependencies, and acceptance criteria before component design.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-specification-compiler,control.bq-1062
BQ-1063,P0,27. Artifact Contracts & Specification Compilation,Feature Specification Compiler,Evidence Gate,FEATURE_COMPILER.md / FEATURES.md,"Compile every high-value feature into purpose, user job, information, actions, interaction model, states, responsive/accessibility behavior, truth semantics, dependencies, and acceptance criteria before component design.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-specification-compiler,control.bq-1063
BQ-1064,P0,27. Artifact Contracts & Specification Compilation,Feature Specification Compiler,Recovery,FEATURE_COMPILER.md / FEATURES.md,"Compile every high-value feature into purpose, user job, information, actions, interaction model, states, responsive/accessibility behavior, truth semantics, dependencies, and acceptance criteria before component design.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-specification-compiler,control.bq-1064
BQ-1065,P0,27. Artifact Contracts & Specification Compilation,Feature Specification Compiler,Regression,FEATURE_COMPILER.md / FEATURES.md,"Compile every high-value feature into purpose, user job, information, actions, interaction model, states, responsive/accessibility behavior, truth semantics, dependencies, and acceptance criteria before component design.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-specification-compiler,control.bq-1065
BQ-1066,P0,27. Artifact Contracts & Specification Compilation,Feature Information Action Model,Contract,FEATURE_COMPILER.md / schemas/feature_spec.schema.json,"Resolve information priority plus primary, secondary, contextual, validation, recovery, and destructive actions so implementation does not invent feature behavior.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-information-action-model,control.bq-1066
BQ-1067,P0,27. Artifact Contracts & Specification Compilation,Feature Information Action Model,Procedure,FEATURE_COMPILER.md / schemas/feature_spec.schema.json,"Resolve information priority plus primary, secondary, contextual, validation, recovery, and destructive actions so implementation does not invent feature behavior.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-information-action-model,control.bq-1067
BQ-1068,P0,27. Artifact Contracts & Specification Compilation,Feature Information Action Model,Evidence Gate,FEATURE_COMPILER.md / schemas/feature_spec.schema.json,"Resolve information priority plus primary, secondary, contextual, validation, recovery, and destructive actions so implementation does not invent feature behavior.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-information-action-model,control.bq-1068
BQ-1069,P0,27. Artifact Contracts & Specification Compilation,Feature Information Action Model,Recovery,FEATURE_COMPILER.md / schemas/feature_spec.schema.json,"Resolve information priority plus primary, secondary, contextual, validation, recovery, and destructive actions so implementation does not invent feature behavior.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-information-action-model,control.bq-1069
BQ-1070,P0,27. Artifact Contracts & Specification Compilation,Feature Information Action Model,Regression,FEATURE_COMPILER.md / schemas/feature_spec.schema.json,"Resolve information priority plus primary, secondary, contextual, validation, recovery, and destructive actions so implementation does not invent feature behavior.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.feature-information-action-model,control.bq-1070
BQ-1071,P0,27. Artifact Contracts & Specification Compilation,User Job State Data Model,Contract,FEATURE_COMPILER.md / FEATURES.md / STRUCTURE.md,"Link each high-value feature to an explicit user job, required data/truth semantics, and applicable state model including edge and recovery states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.user-job-state-data-model,control.bq-1071
BQ-1072,P0,27. Artifact Contracts & Specification Compilation,User Job State Data Model,Procedure,FEATURE_COMPILER.md / FEATURES.md / STRUCTURE.md,"Link each high-value feature to an explicit user job, required data/truth semantics, and applicable state model including edge and recovery states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.user-job-state-data-model,control.bq-1072
BQ-1073,P0,27. Artifact Contracts & Specification Compilation,User Job State Data Model,Evidence Gate,FEATURE_COMPILER.md / FEATURES.md / STRUCTURE.md,"Link each high-value feature to an explicit user job, required data/truth semantics, and applicable state model including edge and recovery states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.user-job-state-data-model,control.bq-1073
BQ-1074,P0,27. Artifact Contracts & Specification Compilation,User Job State Data Model,Recovery,FEATURE_COMPILER.md / FEATURES.md / STRUCTURE.md,"Link each high-value feature to an explicit user job, required data/truth semantics, and applicable state model including edge and recovery states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.user-job-state-data-model,control.bq-1074
BQ-1075,P0,27. Artifact Contracts & Specification Compilation,User Job State Data Model,Regression,FEATURE_COMPILER.md / FEATURES.md / STRUCTURE.md,"Link each high-value feature to an explicit user job, required data/truth semantics, and applicable state model including edge and recovery states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.user-job-state-data-model,control.bq-1075
BQ-1076,P0,27. Artifact Contracts & Specification Compilation,Component Design Compiler,Contract,COMPONENT_COMPILER.md / DESIGN.md / CRAFT.md,"Compile important components from feature requirements into task-specific anatomy, hierarchy, iconography, surfaces, actions, states, responsive behavior, and accessibility before implementation.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-design-compiler,control.bq-1076
BQ-1077,P0,27. Artifact Contracts & Specification Compilation,Component Design Compiler,Procedure,COMPONENT_COMPILER.md / DESIGN.md / CRAFT.md,"Compile important components from feature requirements into task-specific anatomy, hierarchy, iconography, surfaces, actions, states, responsive behavior, and accessibility before implementation.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-design-compiler,control.bq-1077
BQ-1078,P0,27. Artifact Contracts & Specification Compilation,Component Design Compiler,Evidence Gate,COMPONENT_COMPILER.md / DESIGN.md / CRAFT.md,"Compile important components from feature requirements into task-specific anatomy, hierarchy, iconography, surfaces, actions, states, responsive behavior, and accessibility before implementation.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-design-compiler,control.bq-1078
BQ-1079,P0,27. Artifact Contracts & Specification Compilation,Component Design Compiler,Recovery,COMPONENT_COMPILER.md / DESIGN.md / CRAFT.md,"Compile important components from feature requirements into task-specific anatomy, hierarchy, iconography, surfaces, actions, states, responsive behavior, and accessibility before implementation.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-design-compiler,control.bq-1079
BQ-1080,P0,27. Artifact Contracts & Specification Compilation,Component Design Compiler,Regression,COMPONENT_COMPILER.md / DESIGN.md / CRAFT.md,"Compile important components from feature requirements into task-specific anatomy, hierarchy, iconography, surfaces, actions, states, responsive behavior, and accessibility before implementation.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-design-compiler,control.bq-1080
BQ-1081,P1,27. Artifact Contracts & Specification Compilation,Component Variant State Matrix,Contract,COMPONENT_COMPILER.md / schemas/component_spec.schema.json,"Define component variants, interaction states, responsive adaptations, and invalid combinations to prevent one-off divergence and missing states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-variant-state-matrix,control.bq-1081
BQ-1082,P1,27. Artifact Contracts & Specification Compilation,Component Variant State Matrix,Procedure,COMPONENT_COMPILER.md / schemas/component_spec.schema.json,"Define component variants, interaction states, responsive adaptations, and invalid combinations to prevent one-off divergence and missing states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-variant-state-matrix,control.bq-1082
BQ-1083,P1,27. Artifact Contracts & Specification Compilation,Component Variant State Matrix,Evidence Gate,COMPONENT_COMPILER.md / schemas/component_spec.schema.json,"Define component variants, interaction states, responsive adaptations, and invalid combinations to prevent one-off divergence and missing states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-variant-state-matrix,control.bq-1083
BQ-1084,P1,27. Artifact Contracts & Specification Compilation,Component Variant State Matrix,Recovery,COMPONENT_COMPILER.md / schemas/component_spec.schema.json,"Define component variants, interaction states, responsive adaptations, and invalid combinations to prevent one-off divergence and missing states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-variant-state-matrix,control.bq-1084
BQ-1085,P1,27. Artifact Contracts & Specification Compilation,Component Variant State Matrix,Regression,COMPONENT_COMPILER.md / schemas/component_spec.schema.json,"Define component variants, interaction states, responsive adaptations, and invalid combinations to prevent one-off divergence and missing states.",controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.component-variant-state-matrix,control.bq-1085
BQ-1086,P0,27. Artifact Contracts & Specification Compilation,Structural Fingerprint Generation,Contract,GENERICITY.md / schemas/structural_fingerprint.schema.json,Generate a structural fingerprint for substantial concepts before final implementation and record the features that make the composition meaningfully project-specific.,controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.structural-fingerprint-generation,control.bq-1086
BQ-1087,P0,27. Artifact Contracts & Specification Compilation,Structural Fingerprint Generation,Procedure,GENERICITY.md / schemas/structural_fingerprint.schema.json,Generate a structural fingerprint for substantial concepts before final implementation and record the features that make the composition meaningfully project-specific.,controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.structural-fingerprint-generation,control.bq-1087
BQ-1088,P0,27. Artifact Contracts & Specification Compilation,Structural Fingerprint Generation,Evidence Gate,GENERICITY.md / schemas/structural_fingerprint.schema.json,Generate a structural fingerprint for substantial concepts before final implementation and record the features that make the composition meaningfully project-specific.,controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.structural-fingerprint-generation,control.bq-1088
BQ-1089,P0,27. Artifact Contracts & Specification Compilation,Structural Fingerprint Generation,Recovery,GENERICITY.md / schemas/structural_fingerprint.schema.json,Generate a structural fingerprint for substantial concepts before final implementation and record the features that make the composition meaningfully project-specific.,controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.structural-fingerprint-generation,control.bq-1089
BQ-1090,P0,27. Artifact Contracts & Specification Compilation,Structural Fingerprint Generation,Regression,GENERICITY.md / schemas/structural_fingerprint.schema.json,Generate a structural fingerprint for substantial concepts before final implementation and record the features that make the composition meaningfully project-specific.,controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.structural-fingerprint-generation,control.bq-1090
BQ-1091,P0,27. Artifact Contracts & Specification Compilation,Genericity Similarity Rejection,Contract,GENERICITY.md / evals/generic_template_fingerprints.json,Compare substantial concepts against common structural defaults and reject high template similarity or universal component grammar unless category-required structure is strongly differentiated.,controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.genericity-similarity-rejection,control.bq-1091
BQ-1092,P0,27. Artifact Contracts & Specification Compilation,Genericity Similarity Rejection,Procedure,GENERICITY.md / evals/generic_template_fingerprints.json,Compare substantial concepts against common structural defaults and reject high template similarity or universal component grammar unless category-required structure is strongly differentiated.,controls/27-artifact-contracts-and-specification-compilation.md,controls.capability.genericity-similarity-rejection,control.bq-1092
