id,priority,domain,capability,control,target,requirement,shard,capability_id,control_id
BQ-0001,P0,"01. Initialization, Precedence & Agent Control",Authoritative-entry verification,Contract,README.md / INITIALIZE.md,Verify the exact authoritative load point before any other pack instruction is used and reject stale alternate entry points.,controls/01-initialization-precedence-and-agent-control.md,controls.capability.authoritative-entry-verification,control.bq-0001
BQ-0002,P0,"01. Initialization, Precedence & Agent Control",Authoritative-entry verification,Procedure,README.md / INITIALIZE.md,Verify the exact authoritative load point before any other pack instruction is used and reject stale alternate entry points.,controls/01-initialization-precedence-and-agent-control.md,controls.capability.authoritative-entry-verification,control.bq-0002
BQ-0003,P0,"01. Initialization, Precedence & Agent Control",Authoritative-entry verification,Evidence Gate,README.md / INITIALIZE.md,Verify the exact authoritative load point before any other pack instruction is used and reject stale alternate entry points.,controls/01-initialization-precedence-and-agent-control.md,controls.capability.authoritative-entry-verification,control.bq-0003
BQ-0004,P0,"01. Initialization, Precedence & Agent Control",Authoritative-entry verification,Recovery,README.md / INITIALIZE.md,Verify the exact authoritative load point before any other pack instruction is used and reject stale alternate entry points.,controls/01-initialization-precedence-and-agent-control.md,controls.capability.authoritative-entry-verification,control.bq-0004
BQ-0005,P0,"01. Initialization, Precedence & Agent Control",Authoritative-entry verification,Regression,README.md / INITIALIZE.md,Verify the exact authoritative load point before any other pack instruction is used and reject stale alternate entry points.,controls/01-initialization-precedence-and-agent-control.md,controls.capability.authoritative-entry-verification,control.bq-0005
BQ-0006,P0,"01. Initialization, Precedence & Agent Control",Instruction-precedence ledger,Contract,README.md,"Record applicable system, user, project, pack, module, and task instructions in precedence order before execution.",controls/01-initialization-precedence-and-agent-control.md,controls.capability.instruction-precedence-ledger,control.bq-0006
BQ-0007,P0,"01. Initialization, Precedence & Agent Control",Instruction-precedence ledger,Procedure,README.md,"Record applicable system, user, project, pack, module, and task instructions in precedence order before execution.",controls/01-initialization-precedence-and-agent-control.md,controls.capability.instruction-precedence-ledger,control.bq-0007
BQ-0008,P0,"01. Initialization, Precedence & Agent Control",Instruction-precedence ledger,Evidence Gate,README.md,"Record applicable system, user, project, pack, module, and task instructions in precedence order before execution.",controls/01-initialization-precedence-and-agent-control.md,controls.capability.instruction-precedence-ledger,control.bq-0008
BQ-0009,P0,"01. Initialization, Precedence & Agent Control",Instruction-precedence ledger,Recovery,README.md,"Record applicable system, user, project, pack, module, and task instructions in precedence order before execution.",controls/01-initialization-precedence-and-agent-control.md,controls.capability.instruction-precedence-ledger,control.bq-0009
BQ-0010,P0,"01. Initialization, Precedence & Agent Control",Instruction-precedence ledger,Regression,README.md,"Record applicable system, user, project, pack, module, and task instructions in precedence order before execution.",controls/01-initialization-precedence-and-agent-control.md,controls.capability.instruction-precedence-ledger,control.bq-0010
BQ-0011,P0,"01. Initialization, Precedence & Agent Control",Initialization completion state,Contract,INITIALIZE.md / README.md,Persist which initialization steps actually completed so later turns do not silently assume unresolved state.,controls/01-initialization-precedence-and-agent-control.md,controls.capability.initialization-completion-state,control.bq-0011
BQ-0012,P0,"01. Initialization, Precedence & Agent Control",Initialization completion state,Procedure,INITIALIZE.md / README.md,Persist which initialization steps actually completed so later turns do not silently assume unresolved state.,controls/01-initialization-precedence-and-agent-control.md,controls.capability.initialization-completion-state,control.bq-0012
